,Equal_Weighted,Historical_RP,Method_A_ARMA,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost
2020-11-03,1.1457246714673088,1.2242129105017563,1.0,1.1572387631304621,1.1459534821763964,0.9177721339098805
2020-11-04,1.175463045733307,1.2562185083737902,1.0,1.1782873048745206,1.1677600946764357,0.9334683644442795
2020-11-05,1.1912332552760685,1.2707123468502126,1.0,1.1874259969197956,1.1766059415413743,0.9429178804621102
2020-11-06,1.1885635717965186,1.269621984983685,1.0,1.1864342701660058,1.1763521146234157,0.9414736492072432
2020-11-09,1.2206337303178174,1.29231537957919,1.0,1.2039513677804576,1.1948252657547789,0.9491488847849329
2020-11-10,1.2349656072538877,1.3084382316080687,1.0,1.2144628998835356,1.2057124122783072,0.9487238160512991
2020-11-11,1.2359036743941965,1.310586563301531,1.0,1.2156433851031678,1.2072736854334853,0.9518955969702553
2020-11-12,1.219383891109442,1.2964194432778966,1.0,1.2061241444465551,1.1970268907088404,0.944968717673639
2020-11-13,1.23851611893715,1.313111258119263,1.0,1.216814695318869,1.2076553263927197,0.9526166072212083
2020-11-16,1.2605486897059661,1.3273611604603652,1.0,1.2256731062069217,1.2158451232042193,0.9609360244213317
2020-11-17,1.2629061204938643,1.324653737168767,1.0,1.2247065233673837,1.2146530625950258,0.9618700447818702
2020-11-18,1.2449260701677116,1.3068965949811349,1.0,1.2073793370604282,1.1988522440496283,0.9501473282349454
2020-11-19,1.251919063706034,1.3098281730342953,1.0,1.2086579024366222,1.202962023490288,0.9542035594862122
2020-11-20,1.2419674856078144,1.3018715139736807,1.0,1.2017334981098062,1.1960955493700705,0.945651163007697
2020-11-23,1.2595270515687038,1.313683696977874,1.0,1.2136589152262713,1.2075574053831981,0.9550676365286761
2020-11-24,1.2748089454389984,1.3245008391571857,1.0,1.224192315349894,1.2179315404239666,0.9654120496372789
2020-11-25,1.2620484845724222,1.3159595328995524,1.0,1.2144488349041684,1.2090219011377488,0.9571309819958221
2020-11-27,1.2647221507951756,1.320734161964214,1.0,1.217894498903307,1.211804043767732,0.9565663417658983
2020-11-30,1.2566031368439796,1.315884410589105,1.0,1.211828033587918,1.2060605950123153,0.9489523604195363
2020-12-01,1.265392568249373,1.326949748651981,1.0,1.2211541505677124,1.2148217596200426,0.9552890151393686
2020-12-02,1.268304063257211,1.3340545790585014,1.0,1.22664511969542,1.221079976611643,0.9658632262553206
2020-12-03,1.2794508136393323,1.3419579736506508,1.0,1.23280376061669,1.227563279667552,0.9796295492725751
2020-12-04,1.289858895315905,1.3509062205252231,1.0,1.2422219998723734,1.2353950780351026,0.9853674903748071
2020-12-07,1.2847700033419795,1.3447921053230696,1.0,1.2352999159054125,1.2298446078098517,0.9815146521294718
2020-12-08,1.290494210145027,1.3507347100352742,1.0,1.2411948202874017,1.2354192171798546,0.984067417668859
2020-12-09,1.2790320941821594,1.3423372364926267,1.0,1.2330484110298459,1.2277741925055943,0.9737484087891737
2020-12-10,1.2790494621736792,1.3361771835915508,1.0,1.2326719920227531,1.2242320726261393,0.9782835681457754
2020-12-11,1.2719304865222367,1.3296680371285765,1.0,1.2266555795454641,1.2183065328110854,0.9704912531764912
2020-12-14,1.2626649567585688,1.3194655524015648,1.0,1.215279127246313,1.2078356772430225,0.9591175660889151
2020-12-15,1.2690539803143064,1.3274858766427997,1.0,1.2213521655199429,1.213709722627851,0.9639613931769578
2020-12-16,1.2644209813631277,1.3211188753001144,1.0,1.215224352339801,1.208203184644972,0.9577608304186956
2020-12-17,1.2666691112442163,1.3246462433645638,1.0,1.2165978357311136,1.2103563115644382,0.9565785972033319
2020-12-18,1.251334249384378,1.3128421664602206,1.0,1.204159668535797,1.1995145387038353,0.9450527085967083
2020-12-21,1.2481423223941523,1.306581888252951,1.0,1.197785599694711,1.1926541790067164,0.9443954264748268
2020-12-22,1.239700555433053,1.2964706227115987,1.0,1.1879591584514568,1.1835441861128848,0.9364650700739091
2020-12-23,1.2422611247010187,1.3003690670442831,1.0,1.1922336823000779,1.1867703540875356,0.9414019024690461
2020-12-24,1.2423216573314324,1.3016325308030365,1.0,1.1922886781889528,1.1871746809980117,0.939628166820395
2020-12-28,1.2457059788962495,1.3066295073475767,1.0,1.1960068615815318,1.1906472169649658,0.9410499137070623
2020-12-29,1.2520217048922264,1.3117081683426306,1.0,1.2003576362140835,1.1957205547128265,0.9430239743680643
2020-12-30,1.2481578004807568,1.3062646911871054,1.0,1.1949921525370881,1.189366616898954,0.9421086595326192
2020-12-31,1.2547176584573487,1.3144310089566258,1.0,1.2023230533702158,1.1974740541164972,0.9425375667327249
2021-01-04,1.244174680075513,1.307214477025539,1.0,1.1941563612834882,1.1902099544500657,0.9302094767762712
2021-01-05,1.2547553574049302,1.3148565219186545,1.0,1.2015447882574928,1.1959541076057363,0.942550142117321
2021-01-06,1.2698991122754224,1.3351956604745712,1.0,1.2188199621232545,1.2123342927777978,0.9562050453042868
2021-01-07,1.2821949307250642,1.3466040020332604,1.0,1.229330238701422,1.223899011842244,0.9656942576133277
2021-01-08,1.282673437400536,1.3443502900407425,1.0,1.228145078053811,1.2224318294388492,0.9659603973821086
2021-01-11,1.2810153314550206,1.344958208708101,1.0,1.2286618833220837,1.2230308468203688,0.9652529814935472
2021-01-12,1.2815754134211237,1.3435193089260549,1.0,1.2273589007068268,1.220664127832175,0.9654974801208241
2021-01-13,1.2859869298789168,1.3436164401254544,1.0,1.2272099618158503,1.220913420727469,0.9635253337475912
2021-01-14,1.29242107639371,1.3486548850145084,1.0,1.2296951610624587,1.2234738588140364,0.9683435231299394
2021-01-15,1.2814450801802357,1.3413239468912308,1.0,1.2254594073891056,1.2196999724575541,0.9572297308010806
2021-01-19,1.2900788985914065,1.3463974609445135,1.0,1.228591996830379,1.2221777969712508,0.967811583740869
2021-01-20,1.303204880882536,1.3569017909855434,1.0,1.235484529620174,1.2292416830440773,0.973865248805021
2021-01-21,1.3010845225364804,1.3523281612226383,1.0,1.2333717540296825,1.227283067646868,0.9672010557897407
2021-01-22,1.2864699787187859,1.3420590704110265,1.0,1.225985918470603,1.2205318085701844,0.9560373069782739
2021-01-25,1.283528791307704,1.343675687197531,1.0,1.2271975601387117,1.221314722960008,0.9537983198610762
2021-01-26,1.2724486066101868,1.3263637370521286,1.0,1.216534787700703,1.2098654652013319,0.9472633708792607
2021-01-27,1.2378930291792405,1.2892236621485933,1.0,1.1919081043576123,1.184703550172407,0.9295522100599467
2021-01-28,1.2531331926126714,1.3028934883445606,1.0,1.2011671516549123,1.193646605354758,0.9383456910008452
2021-01-29,1.232252292043,1.2820565757081728,1.0,1.1876237677603196,1.180100399422234,0.9249276192884939
2021-02-01,1.23910825122823,1.2856652593599034,1.0,1.1920903654384103,1.1839587642807092,0.9312738897864821
2021-02-02,1.2568742420117318,1.3009473725542529,1.0,1.20305510563097,1.1945384121173699,0.9418632215287716
2021-02-03,1.2605461430831195,1.3028556497020565,1.0,1.2037368163429942,1.1956658995114335,0.9447334818531661
2021-02-04,1.2659186565618987,1.3062569390167533,1.0,1.2069545872485972,1.1966956165327371,0.9506626531519838
